Time [s], HR, PULSE, RESP, SpO2
0,81,78,18,92
1,81,78,18,91
2,82,78,18,91
3,82,78,18,91
4,82,79,18,91
5,83,80,18,91
6,82,80,18,91
7,82,81,18,91
8,82,81,18,91
9,82,82,18,91
10,81,82,18,91
11,81,82,18,91
12,81,82,18,91
13,81,81,18,91
14,80,81,18,91
15,80,81,18,91
16,80,81,18,91
17,80,81,18,91
18,80,81,18,91
19,80,80,18,91
20,80,80,18,91
21,80,80,18,91
22,79,80,19,92
23,80,80,19,92
24,80,80,19,92
25,80,80,19,92
26,80,80,19,92
27,80,80,19,92
28,81,80,19,92
29,81,80,19,92
30,81,80,19,91
31,82,80,19,91
32,82,80,19,91
33,81,80,19,91
34,81,81,19,91
35,81,81,19,91
36,80,81,19,91
37,80,81,19,91
38,80,81,19,91
39,80,81,19,91
40,80,81,18,91
41,81,81,18,91
42,82,80,18,91
43,82,80,19,92
44,84,80,19,92
45,85,80,19,92
46,86,80,19,92
47,87,80,19,92
48,88,83,19,89
49,88,84,18,88
50,89,82,18,91
51,89,82,18,92
52,89,82,18,93
53,89,83,18,94
54,89,86,18,94
55,89,87,18,94
56,89,88,18,93
57,89,89,18,93
58,89,89,18,92
59,89,89,18,91
60,88,89,18,91
61,88,89,18,91
62,88,89,18,91
63,87,89,18,91
64,87,89,19,91
65,87,89,19,91
66,87,88,19,91
67,87,88,19,91
68,87,88,19,91
69,87,88,19,92
70,87,87,19,92
71,87,87,19,92
72,87,87,19,92
73,87,87,19,92
74,86,87,19,92
75,86,87,19,92
76,85,87,20,92
77,85,87,20,92
78,84,87,20,92
79,84,87,20,92
80,84,86,19,92
81,84,86,19,92
82,84,86,19,92
83,84,85,19,92
84,84,85,19,92
85,84,84,19,92
86,85,84,19,92
87,85,83,19,92
88,85,83,19,92
89,85,83,19,92
90,84,84,19,92
91,84,84,19,92
92,83,84,19,92
93,83,85,19,92
94,83,85,19,92
95,82,85,19,92
96,82,84,19,92
97,82,84,19,92
