Time [s], HR, PULSE, RESP, SpO2
-0,83,82,17,95
1,83,82,17,95
2,83,82,18,95
3,84,82,18,95
4,84,82,18,95
5,84,82,18,95
6,84,82,17,95
7,84,83,17,95
8,84,83,17,95
9,84,83,17,95
10,84,83,17,95
11,84,84,17,95
12,84,84,17,95
13,84,84,17,95
14,84,84,17,95
15,84,84,17,95
16,85,84,17,95
17,85,84,17,95
18,84,84,17,95
19,84,84,17,95
20,84,84,17,95
21,84,84,17,95
22,84,84,17,95
23,84,84,17,95
24,84,84,17,95
25,84,84,17,95
26,84,84,17,95
27,84,84,17,95
28,84,84,17,95
29,84,84,17,95
30,84,84,17,95
31,84,84,17,95
32,84,84,17,95
33,84,84,17,95
34,84,84,17,95
35,84,84,17,95
36,84,84,17,95
37,83,84,17,95
38,83,84,17,95
39,83,83,17,95
40,83,83,17,95
41,83,83,17,95
42,84,83,17,95
43,83,83,17,95
44,83,83,17,95
45,83,83,17,95
46,83,83,17,95
47,83,83,17,95
48,83,83,17,95
49,84,83,17,95
50,83,83,17,95
51,84,83,17,95
52,84,83,17,95
53,84,83,17,95
54,84,83,17,95
55,84,83,17,95
56,84,83,17,95
57,84,83,17,95
58,84,84,17,95
59,84,84,17,95
60,84,84,17,95
61,84,84,18,95
62,84,84,18,95
63,84,84,18,95
64,84,84,18,95
65,84,84,18,95
66,84,84,17,95
67,85,84,17,95
68,84,84,17,95
69,85,84,17,95
70,85,84,17,95
71,84,84,17,95
72,84,84,17,95
73,84,84,17,95
74,84,84,17,95
75,84,84,17,95
76,84,84,17,95
77,84,84,17,95
78,84,84,17,95
79,84,84,17,95
80,84,84,17,95
81,84,84,17,95
82,84,84,18,95
83,84,84,18,95
84,84,84,18,95
85,84,84,18,95
86,84,84,18,95
87,84,84,18,95
88,84,84,18,95
89,84,84,18,95
90,84,84,18,95
91,84,84,18,95
92,84,84,18,95
93,84,84,18,95
94,84,84,18,95
95,84,84,18,95
96,84,84,18,95
97,84,84,18,95
98,84,84,18,95
99,84,84,18,95
100,84,84,18,95
101,84,84,18,95
102,84,84,18,95
103,84,84,18,95
104,84,84,18,95
105,84,84,18,95
106,84,83,18,95
107,84,83,18,95
108,84,84,18,95
109,84,84,18,95
110,85,84,18,95
111,85,84,18,95
112,85,84,18,95
113,85,84,18,95
114,85,84,18,95
115,84,84,18,95
116,84,84,18,95
117,84,84,18,95
118,84,84,18,95
119,84,84,18,95
120,84,84,18,95
121,84,84,18,95
122,84,84,18,95
123,84,84,18,95
124,84,84,17,95
125,84,84,17,95
126,84,84,17,95
127,84,84,17,95
128,84,84,17,95
129,84,84,17,95
130,84,84,17,95
131,84,84,17,95
132,84,84,17,95
133,84,84,17,95
134,84,84,17,95
135,84,83,17,95
136,83,83,17,95
137,83,83,17,95
138,83,83,17,95
139,83,83,17,95
140,83,83,17,95
141,83,83,17,95
142,83,83,17,95
